ObjektID;Erwerbsart;Erwerbsdatum;Titel / Darstellung;Objektname;Datierung;Suchdatum Anfang;Suchdatum Ende;Material / Technik (für Objektbeschriftung);Maße;Beschreibung;Beschriftung(en) / Inschrift(en);Inventarnummer;Andere Nummer;Periode / Epoche / Abschnitt;Vermerke (allgemein);Provenienz / Herkunft / Produktionsort;Literatur / Publikationen;Zustandsbeschreibung (kurz, aktuell);Miturheber;Öffentlich zugänglich;Standort;Texteingabe;Grundstuecksnummer;KG;centroid_lat;centroid_lon;Objektanzahl;Schlagworte
1514928;Grabung;2013;Sarkophag mit Kopfpolster;;2.-4. Jh. n. Chr.;151;400;;L x B x H: 160 x 86 x 50 x 12 cm;Der Sarkophag ist 34-50cm hoch.  Die durchschnittliche Wandstärke beträgt 12 cm an den Längsseiten, an den Schmalseiten, deren Innenseiten auf ganzer Breite leicht konkav ausgehöhlt sind (ohne die üblichen Nischenecken), verringert sich diese von 8cm auf 5cm in der Mitte. Lichte Breite 49cm, lichte Länge 150cm. Das Kopfpolster ist 40cm lang (25cm bis Kante + 15cm bis Innenboden) und ca. 7cm hoch.;keine;CAR-S-1953;109;Mittlere bis späte Kaiserzeit;Der Sarkophag SE 1255 wurde bei einer Grabungsmaßnahme (April-September 2013) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung gründet in diesem Kontext. s. La;;R. Igl - O. Rachbauer, FÖ 52, 2013, 232;vollständig;;0;;Petronell-Carnuntum, Gst. 838/10 + 838/11;838/10 + 838/11;;;;1;Körperbestattung, Kopfpolster
1514909;Grabung;2013;Sarkophag mit Kopfpolster;;3.-4. Jh. n. Chr.;201;400;;;Am Kopfende 64 cm, in der Mitte am Bruch 67 cm breit. Langseiten: 133 und 118 cm lang. Höhe 44-49 cm. Sehr flaches Kopfpolster von 1-2 cm Höhe, 15 cm lang.;Keine;CAR-S-1950;M05109.13.05;spätantik;Das große Teilstück eines Sarkophages wurde bei einer Grabungsmaßnahme (April-September 2013) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung gründet in diese;;R. Igl - O. Rachbauer, FÖ 52, 2013, 232;Größeres Bruchstück eines Sarkophages.;;0;;Petronell-Carnuntum, Gst. 838/10 + 838/11;838/10 + 838/11;;;;1;Körperbestattung, Kopfpolster, Spätantik
1514910;(not assigned);;Sarkophagdeckel mit Ziegeln;;3.-4. Jh. n. Chr.;201;400;;;"Der Deckelkörper ist 18-20 cm dick (laut Levicka 25,5cm); am östlichen Schmalende ist er 90cm, in der Mitte 100cm breit. Auffällig ist die mehrgliedrige Reihe mörtelfixierter Ziegelplatten im östlichen Ende der südlichen Langseite. Zwei fluchtende Ziegel (liegen verputzt in situ auf, die Grate deuten auf eine Reihe von zwei ehemals aufliegenden flachen Ziegeln (23 x 11,8 cm) , denen zur Kante zwei parallel Ziegeln zugesellt waren. An der Kante sind noch die Abdrücke tieferliegender dickerer, schmalerer Ziegeln (12 x 7). Handelt es sich um die Reste einer Firstbekrönung? Zusammen mit einer zweiten Deckelplatte wäre die Grababdeckung eines Plattengrabes allerdings sehr geraten.";keine;CAR-S-1951;M05109.13.05;spätantik;Der Sarkophagdeckel wurde bei einer Grabungsmaßnahme (April-September 2013) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung gründet in diesem Kontext. s. Lage;;R. Igl - O. Rachbauer, FÖ 52, 2013, 232;;;0;;Petronell-Carnuntum, Gst. 838/10 + 838/11;;;;;1;Deckel, Spätantik, Ziegel
1514911;Grabung;2013;Sarkophagdeckel;;3.-4. Jh. n. Chr.;201;400;Kalkstein;L x B x D: 266 x 100 x 32 cm;An den schmalen Längskanten gleichmäßige grobe Meißelfurchen in 3,5 cm Abstand. Auf der Deckeloberseite gleichmäßig gebogen, paralalle dünne Meißelspuren sichbar.;keine;CAR-S-1952;M05109.13.05;spätantik;Der Sarkophagdeckel wurde bei einer Grabungsmaßnahme (April-September 2013) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung gründet in diesem Kontext. s. Lage;;R. Igl - O. Rachbauer, FÖ 52, 2013, 232;vollständig;;0;;Petronell-Carnuntum, Gst. 838/10 + 838/11;838/10 + 838/11;;;;1;Deckel, Meißelspuren, Spätantik
1515084;(not assigned);;Sarkophagdeckel;;2.-4. Jh. n. Chr.;151;400;;L x B x D: 208 x 94 x 42 cm;"Ein bis zu 14cm breiter Randschlag umzieht den mit Spitzeisenspuren übersäten Spiegel der mittelfein geglätteten Oberseite des Deckels. In der Mitte findet sich eine 19x8cm weite und 7cm tiefe Aushöhlung. Der 14cm breite Randschlag ist durch eine dünne Reißlinie vom Spiegel abgetrennt.
An der anschließenden Langkante wurde die rauhe, fischgärtartig gepickte Oberfläche bis auf einen teilweise bis 9-13cm breiten Randbereich noch nicht geglättet.
Dicke 38-42cm. ";keine;CAR-S-2015;;Mittlere bis späte Kaiserzeit;;;;;;0;;;;;;;1;Deckel, Meißelspuren
1514929;Grabung;2013-09-16;Sarkophag mit Kopfpolster;;2.-4. Jh. n. Chr.;151;400;;L x B x H: 219 x 92 x 78 x 13 cm;Der Sarkophag gehört zu den sorgfältiger gearbeiteten Steinbehältern lokaler Provenienz. Die Außenseiten sind vom Rand nach innen großflächig scharriert oder mit schmalen Meißeln vorgeglättet, in den anderen Bereichen wurden zumindest gröbere Meißelspuren beseitigt. Die Oberkanten und die Innenseiten sind scharriert und halbwegs geglättet. Die Wandung ist an den Längsseiten 13 cm, an den Schmalseiten 15cm dick. Lichte Breite 65-66cm. Das Kopfpolster ist 16cm bis Kante + 14cm bis Innenboden breit, und ca. ## cm hoch.;Keine;CAR-S-1954;111;Mittlere bis späte Kaiserzeit;Der Sarkophag SE 1424 wurde bei einer Grabungsmaßnahme (April-September 2013) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung gründet in diesem Kontext. s. La;;R. Igl - O. Rachbauer, FÖ 52, 2013, 232;Der Sarkophag ist größtenteils vollständig erhalten, an einer Langseite ist die Wandung auf 80cm Länge und ca. 30cm Höhe ausgebrochen. Das entsprechende Wandstück fehlt.;;0;;Petronell-Carnuntum, Gst. 838/10 + 838/11;838/10 + 838/11;;;;1;Körperbestattung, Kopfpolster, Meißelspuren
1514930;Grabung;2013-09-16;Sarkophag mit Kopfpolster;;2.-4. Jh. n. Chr.;151;400;;;"Der Sarkophag gehört zu den etwas sorgfältiger gearbeiteten Steinbehältern lokaler Provenienz. Der 4-6cm Randschlag ist dünneren und schmalen Meißeln horizontal ausgeführt. Im Spiegel sind die dünnen Meißeln von den Kanten nach innen enger schräg bis senkrecht ausstreichend gesetzt. An der Unterkante der Schmalseite am Kopfende ließ man eine schmale, ca. 60cm breite Bosse stehen. Die enger und dünner gesetzten Meißelspuren wurden an den Oberkanten und die Innenseiten halbwegs geglättet. 
Die Wandung ist an den Längsseiten im Schnitt 14,5cm, an den Schmalseiten 14cm dick. Lichte Breite 62-63cm. Tiefe von OK bis Innenboden 44-49cm. Das Kopfpolster ist 20cm bis Kante + 12cm bis Innenboden breit, und ca. 14-15cm hoch.";keine;CAR-S-1955;110;Mittlere bis späte Kaiserzeit;Der Sarkophag SE 1425 wurde bei einer Grabungsmaßnahme (April-September 2013) vor der Errichtung eines Wohnhauses in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung gründet in diesem Kontext. s. La;;R. Igl - O. Rachbauer, FÖ 52, 2013, 232;vollständig. Zwei längsseitig eingespannte Holzbalken lassen vermuten, daß der Sarkophag instabil ist! Die Wandung ist an der NO-Ecke und an der mittleren Westseite (an-)gebrochen.;;0;;Petronell-Carnuntum, Gst. 838/10 + 838/11;838/10 + 838/11;;;;1;Körperbestattung, Kopfpolster, Meißelspuren
1514961;Grabung;2012-05-16;Sarkophag mit Kopfnische und Kopfpolster für eine Kinderbestattung;;2.-4. Jh. n. Chr.;151;400;;;"Der Kindersarkophag hat eine flache Kopfnische (2,5cm tief; 18,5cm weit). Das Kopfpolster ist 10cm bis zur Kante + 10cm bis Innenboden breit. Die Wandung ist an den Längsseiten im Schnitt 6,5cm, an den Schmalseiten 7,5-8 cm dick. Lichte Breite 31cm. Die Höhe beträgt 33-36cm. 
Grobkieseliger Sandstein, geglättet. 
Die Körperbestattung war massiv beraubt (VF 1102).";keine;CAR-S-1960;103;Mittlere bis spätere Kaiserzeit;Der beraubte Kindersarkophag wurde bei einer Grabungsmaßnahme (März-Mai 2012) vor der Errichtung von Wohnhäusern auf drei Parzellen in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehört. Die Datierung gründet in die;;R. Igl, FÖ 51, 2012, 211;;;0;;Petronell-Carnuntum, Gst. 838/14;838/14;;;;1;Körperbestattung, Kindbestattung, Kopfnische, Kopfpolster, Beraubt
1515182;(not assigned);;Sarkophagdeckel;;2.-4. Jh. n. Chr.;151;400;;;"Mäßig geglätteter Deckel. Die Oberseite ist mit wellenartigem Muster von Spitzeisenfurchen überzogen, die flachen Schmalseiten mit schuppenartigen Abarbeitungsspuren des breiten Flachmeißels. 
Maße: Langseiten 177 cm bzw. 165cm. Dicke 26-30 cm.";;CAR-S-2016;;Mittlere bis späte Kaiserzeit;Keine;;;;;0;;;;;;;1;Deckel, Meißelspuren
1515205;(not assigned);;Sarkophagdeckel;;2.-4. Jh. n. Chr.;151;400;Kalkstein;;"Ein größerer Eckbereich des geglätteten Deckel fehlt. 
Die Langseiten messen 108 bzw. 90 cm lang, die Breitseiten mittig 78 cm bzw. 60 und 17 cm an den angebrochenen Enden. Die Dicke beträgt 16-22cm.";keine;CAR-S-2017;;Mittlere bis späte Kaiserzeit;Keine Funddokumentation zuweisbar;;;;;0;;;;;;;1;Deckel
1515206;(not assigned);;Sarkophagdeckel;;2.-4. Jh. n. Chr.;151;400;;;"Ein bis zu 25 cm breiter Randschlag begrenzt das mit eng gesetzten Spitzeisenfurchen übersäte Hauptfeld. Ähnlich mäßig gegelättet sind auch die schmalen Außenseiten. 

Der Deckel ist 122 bis 133 cm breit. Die Dicke beträgt 30-31 cm.";keine;CAR-S-2018;;Mittlere bis späte Kaiserzeit;Keine Funddokumentation zuweisbar;;;Großes Teilstück eines Sarkophagdeckels.;;0;;;;;;;1;Deckel, Meißelspuren
1514962;Grabung;2012-04-17;Sarkophag mit Kopfnische und Kopfpolster für eine Kinderbestattung;;2.-3. Jh. n. Chr.;151;300;Kalksandstein;L x B x H: 101 x 47 x 28 x 10 x 19 cm;"Der Kindersarkophag hat eine Kopfnische (21 cm weit, Nischenecken je 3cm breit). Die Wandung ist an den Längsseiten im Schnitt 9-10cm, an den Schmalseiten 17 cm dick, im Scheitelpunkt der Kopfnische noch 10cm dick.  Lichte Breite 27cm.

Deckel (Signatur 1110 = CAR-S-1962) ist zugehörig.";keine;CAR-S-1961;M05109.12.02;Mittlere Kaiserzeit;Der Kindersarkophag mit dem zugehörigen Deckel (CAR-S-1962) wurde bei einer Grabungsmaßnahme (März-Mai 2012) vor der Errichtung von Wohnhäusern auf drei Parzellen in dem neuen Siedlungsfeld Bernsteinstraße aufgedeckt, das zu einem antiken Gräberfeld gehör;;R. Igl, FÖ 51, 2012, 211 Abb. 22 (Grabungsphoto);;;0;;Petronell-Carnuntum, Gst. 838/9;838/9;;;;1;Körperbestattung, Kindbestattung, Kopfnische, Kopfpolster, Deckel vorhanden
1515215;Grabung;2009;Sarkophag mit Kopfnische und Kopfpolster;;2.-3. Jh. n. Chr.;151;300;Corallinaceenkalkarenit;;;"Liegendes ""D"" auf einer Langseite und ein liegendes  ""M"" auf der anderen Langseite
D(is) M(anibus)";CAR-S-2025;;Mittlere bis späte Kaiserzeit;Der Sarkophag wurde bei der Grabung 2008/2009 in Petronell auf dem Areal ausgegraben, auf dem der neue Parkplatz vor dem Besucherzentrum des Archäologischen Parks entstehen sollte.;;"F. Beutler - G. Kremer, Eine Aschenkiste und zwei Sarkophage mit Grabinschriften aus dem Gräberfeld südlich der Zivilstadt von Carnuntum, CarnuntumJb 2020, 157. 162f. 165 Abb. 17-20. 25 Taf. 72. 73. 75 (mit Lit.); 
zur Grabung: F. Humer – A. Konecny, FÖ 47, 2008, 571f.; F. Humer – A. Konecny, FÖ 48, 2009, 424–426; A. Konecny, Untersuchungen im Bereich des projektierten Parkplatzes am westlichen Ortsrand von Petronell-Carnuntum; die Kampagne 2009, AÖ 21/1, 210, 31f.; A. Konecny, Die südliche Periphere von Carnuntum. Neue Evidenz aus den Grabungen 2001–2009, in: 13. ÖAT Salzburg 2010 (Wien 2012) 271–280";;;0;;Petronell-Carnuntum, Parkplatz vor dem Besucherzentrum des Archäologischen Parks;;;;;1;Körperbestattung, Kopfnische, Kopfpolster, Inschrift
1515075;Grabung;2009;Sarkophag mit Kopfpolster;;2.-4. Jh. n. Chr.;151;400;;L x B x H: 161 x 112 x 66 x 16 x 43 cm;"Die langen Außenfronten sind in schrägen Bahnen mit schmalem Flachmeißel geglättet, die Innenseiten sind steil nach oben strebend mittelmäßig meißelgeglättet. Auf dem Innenboden sind die Spitzeisen sichtbar. Die Oberseiten  sind fein geglättet. 
Maße: Langseiten 161 cm, bzw. 105 cm lang. Das Kopfpolster ist 5cm hoch. Lichte Weite 80cm. Der Boden ist um 27cm dick. Die Wandung ist an den Langseiten, an der Kopfseite 17cm.";keine;CAR-S-2006;;Mittlere bis späte Kaiserzeit;"Der Sarkophag wurde bei der Grabung 2008/2009 in Petronell auf dem Areal ausgegraben, auf dem der neue Parkplatz vor dem Besucherzentrum des Archäologischen Parks entstehen sollte.
Sondage 8";;"zur Grabung: F. Humer – A. Konecny, FÖ 47, 2008, 571f.; F. Humer – A. Konecny, FÖ 48, 2009, 424–426; A. Konecny, Untersuchungen im Bereich des projektierten Parkplatzes am westlichen Ortsrand von Petronell-Carnuntum; die Kampagne 2009, AÖ 21/1, 210, 31f.; A. Konecny, Die südliche Periphere von Carnuntum. Neue Evidenz aus den Grabungen 2001–2009, in: 13. ÖAT Salzburg 2010 (Wien 2012) 271–280";Von dem Kopfstück;;0;;Petronell-Carnuntum, Parkplatz vor dem Besucherzentrum des Archäologischen Parks;;;;;1;Körperbestattung, Kopfpolster, Meißelspuren
1515076;Grabung;2009;Sarkophagdeckel;;2.-4. Jh. n. Chr.;151;400;;L x B x D: 103 x 70 x 25 cm;"Fein geglätteter Deckeleckfragment.
Dicke 16-23cm.
schmale gebrochene Seite 50cm lang; lange gebrochene Seite 122cm.";;CAR-S-2007;;Mittlere bis späte Kaiserzeit;"Der Sarkophag wurde bei der Grabung 2008/2009 in Petronell auf dem Areal ausgegraben, auf dem der neue Parkplatz vor dem Besucherzentrum des Archäologischen Parks entstehen sollte.
Sondage 8";;"zur Grabung: F. Humer – A. Konecny, FÖ 47, 2008, 571f.; F. Humer – A. Konecny, FÖ 48, 2009, 424–426; A. Konecny, Untersuchungen im Bereich des projektierten Parkplatzes am westlichen Ortsrand von Petronell-Carnuntum; die Kampagne 2009, AÖ 21/1, 210, 31f.; A. Konecny, Die südliche Periphere von Carnuntum. Neue Evidenz aus den Grabungen 2001–2009, in: 13. ÖAT Salzburg 2010 (Wien 2012) 271–280";Deckeleckfragment, an antiker Kante runder Ausbruch.;;0;;Petronell-Carnuntum, Parkplatz vor dem Besucherzentrum des Archäologischen Parks;;;;;1;Deckel
1515077;Grabung;2009;Sarkophag Bruchstücke;;2.-4. Jh. n. Chr.;151;400;;L x B x D: 85 x 76 x 30 cm;"Zwei mittel geglättete Bruchstücke - die vermutlich über die 81 und die 78cm langen Bruchkanten - und vier kleine aufliegende Brocken.
Maße größtes Bruchstück: Langseiten antik 76 cm und 33cm; gebrochene Seiten 85 und 81cm. Dicke 22-30cm.
Maße zweitgrößtes Bruchstück: Langseite antik 72 cm; gebrochene Seiten 78, 48 und 36 cm. Dicke 17-22 cm.";;CAR-S-2008;;Mittlere bis späte Kaiserzeit;"Der Sarkophag wurde bei der Grabung 2008/2009 in Petronell auf dem Areal ausgegraben, auf dem der neue Parkplatz vor dem Besucherzentrum des Archäologischen Parks entstehen sollte.
Sondage 8";;"zur Grabung: F. Humer – A. Konecny, FÖ 47, 2008, 571f.; F. Humer – A. Konecny, FÖ 48, 2009, 424–426; A. Konecny, Untersuchungen im Bereich des projektierten Parkplatzes am westlichen Ortsrand von Petronell-Carnuntum; die Kampagne 2009, AÖ 21/1, 210, 31f.; A. Konecny, Die südliche Periphere von Carnuntum. Neue Evidenz aus den Grabungen 2001–2009, in: 13. ÖAT Salzburg 2010 (Wien 2012) 271–280";;;0;;Petronell-Carnuntum, Parkplatz vor dem Besucherzentrum des Archäologischen Parks;;;;;6;Körperbestattung (Fragment)
1515080;Grabung;2009;Sarkophag mit Kopfnische und Kopfpolster;;2.-4. Jh. n. Chr.;151;400;;L x B x H: 122 x 55 x 40 x 9,5 x 28 cm;"Korpus aus grobporigem, mit vielen Steinen durchsetztem Brekzien(?)gestein, relativ fein geglättet, bis auf den nur mittelmäß9g geglätteten Innenboden. 
Maße: Breitseiten 52 cm bzw. 55 cm breit. Das 5-7cm hohe Kopfpolster ist bis zur Kante 9 cm (bzw. 14,5 cm von der 5,5cm tiefen Nische), und weiters bis zum Innenboden 7cm lang. Die Wandung ist an den Langseiten 9-10 cm, am Fußende 11cm lang. Lichte Weite 35cm.  Tiefe von OK 25-28";;CAR-S-2011;;Mittlere bis späte Kaiserzeit;"Der Sarkophag wurde bei der Grabung 2008/2009 in Petronell auf dem Areal ausgegraben, auf dem der neue Parkplatz vor dem Besucherzentrum des Archäologischen Parks entstehen sollte.
Sondage 8";;"zur Grabung: F. Humer – A. Konecny, FÖ 47, 2008, 571f.; F. Humer – A. Konecny, FÖ 48, 2009, 424–426; A. Konecny, Untersuchungen im Bereich des projektierten Parkplatzes am westlichen Ortsrand von Petronell-Carnuntum; die Kampagne 2009, AÖ 21/1, 210, 31f.; A. Konecny, Die südliche Periphere von Carnuntum. Neue Evidenz aus den Grabungen 2001–2009, in: 13. ÖAT Salzburg 2010 (Wien 2012) 271–280";In mehrere anpassende Fragmente zerbrochener Korpus. Zwei Wandungstücke liegen im Inneren.;;0;;Petronell-Carnuntum, Parkplatz vor dem Besucherzentrum des Archäologischen Parks;;;;;1;Körperbestattung, Kopfnische, Kopfpolster, Meißelspuren
1515081;Grabung;2009;Sarkophag Bruchstücke;;2.-4. Jh. n. Chr.;151;400;;;"8 größere Bruchstücke eines Sarkophages, geglättet.
1) Bruchstück (Wandung / Deckel?) L 38 x 22 B
2) Boden-Wandungblock mit 42 cm langer antiker äußerer Unterkante  
3) Bruchstück H 15cm
4) Boden-Wandungspartie innen: L 29 x B 26 cm Boden (?) und 12cm dicker Wandung(?), H 20. 
5) Bruchstück (Wandung / Deckel?) L 56 x 24 B
6) Bruchstück (Wandung / Deckel?) L 80 x B 28 x D 9cm
7) Bruchstück (Wandung / Deckel?) L 22 x B 16 x D 8 cm
8) Bruchstück (Wandung / Deckel?) mit antiker Kante 38cm lang und 39cm x B 43 x D 20cm.";;CAR-S-2012;;Mittlere bis späte Kaiserzeit;"Der Sarkophag wurde bei der Grabung 2008/2009 in Petronell auf dem Areal ausgegraben, auf dem der neue Parkplatz vor dem Besucherzentrum des Archäologischen Parks entstehen sollte.
Sondage 8";;"zur Grabung: F. Humer – A. Konecny, FÖ 47, 2008, 571f.; F. Humer – A. Konecny, FÖ 48, 2009, 424–426; A. Konecny, Untersuchungen im Bereich des projektierten Parkplatzes am westlichen Ortsrand von Petronell-Carnuntum; die Kampagne 2009, AÖ 21/1, 210, 31f.; A. Konecny, Die südliche Periphere von Carnuntum. Neue Evidenz aus den Grabungen 2001–2009, in: 13. ÖAT Salzburg 2010 (Wien 2012) 271–280";;;0;;Petronell-Carnuntum, Parkplatz vor dem Besucherzentrum des Archäologischen Parks;;;;;8;Körperbestattung (Fragment)
1515207;(not assigned);;Sarkophagdeckel / Akroteriendeckel eines Truhensarkophages;;2.-4. Jh. n. Chr.;151;400;;;;;CAR-S-2019;;Mittlere bis späte Kaiserzeit;Von Levicka als Nr.D aufgenommen, daher vor 2008 in das Steinzelt transferiert. Sie identifiziert den Deckel mit Inv.-Nr. 4196 (L 210 x B 90 x H 42 cm), wobei B und H deutlich von einander abweichen.;;;;;0;;;;;;;1;Deckel, Reliefs/Dekor (Akroterien)
1515070;Grabung;2009;Sarkophag mit Kopfpolster;;2.-4. Jh. n. Chr.;151;400;Kalkstein;L x B x H: 213 x 92 x 60 x 14 x 44 cm;"Mittel bis fein geglätteter Sarkophag. Über weite Teile im Äußeren ist die Oberfläche schuppenartig mit dem mittelbreiten Flachmeißel in schräger und horizontaler Ausrichtung zugerichtet, desgleichen im Inneren, aber an den Längseiten eher in schrägparallelen Bahnen. Auf dem Boden sind die steil gesetzten Schläge des breiten Eisens gut sichtbar. An den Unterkanten der Schmalseiten stehen außen schmale Bossen von 15 bzw. 41cm Länge an. 
Maße: Langseiten 201 bzw. 213cm. Das ca. 5cm hohe Kopfpolster ist 23cm bis zur Kante, und weitere 11 cm bis zum Innenboden breit.";"keine";CAR-S-2001;;Mittlere bis späte Kaiserzeit;"Der Sarkophag wurde bei der Grabung 2008/2009 in Petronell auf dem Areal ausgegraben, auf dem der neue Parkplatz vor dem Besucherzentrum des Archäologischen Parks entstehen sollte.
Sondage 8";;"zur Grabung: F. Humer – A. Konecny, FÖ 47, 2008, 571f.; F. Humer – A. Konecny, FÖ 48, 2009, 424–426; A. Konecny, Untersuchungen im Bereich des projektierten Parkplatzes am westlichen Ortsrand von Petronell-Carnuntum; die Kampagne 2009, AÖ 21/1, 210, 31f.; A. Konecny, Die südliche Periphere von Carnuntum. Neue Evidenz aus den Grabungen 2001–2009, in: 13. ÖAT Salzburg 2010 (Wien 2012) 271–280";Vollständig erhalten, die Oberseite ist in der SW-Ecke abgeschlagen.;;0;;Petronell-Carnuntum, Parkplatz vor dem Besucherzentrum des Archäologischen Parks;;;;;1;Körperbestattung, Kopfpolster, Meißelspuren
1515071;Grabung;2009;Sarkophag mit Doppelkopfnische und Kopfpolster;;2.-4. Jh. n. Chr.;151;400;;L x B x H: 241 x 126 x 79 cm;"Gut geglätteter Korpus - Scharrierung auf der Oberseite sichtbar, flache schrägparalalle Bahnen des breiten Flachmeißels noch auf den Innenseiten sichtbar. Die 191 cm lange und 5cm breite, niedrige Leiste sollte die beiden Kammern auf Höhe des steilen Kopfpolsters trennen. 
Maße: Sehr gleichmäßig breite Wandung von 17 bzw. 18 cm an den Langseiten, am Fußende 14 cm, am Kopfende 29-32 cm, bzw. 14 cm am Scheitelpunkt der Kopfnischen. Tiefen von 65 bis 74 cm. Das Kopfpolster ist 19cm (incl. NIsche) bis zur Kante, und 21 cm bis zum Innenboden lang. Die westliche Kammer ist 47cm breit, mit einer Nische von 37cm Weite (53cm Tiefe von OK); die östliche Kammer ist 48 cm breit mit einer Nische von 37 cm Weite (bis zu 58cm Tiefe von OK). 
Außen an der Unterkante der Schmalseite am Fußende wurden eine schmale, 7cm hohe Bossen stehen gelassen, desgleichen eine ca. 4cm starke Bosse entlang der östlichen Langseite.";"keine";CAR-S-2002;;Mittlere bis späte Kaiserzeit;"Der Sarkophag wurde bei der Grabung 2008/2009 in Petronell auf dem Areal ausgegraben, auf dem der neue Parkplatz vor dem Besucherzentrum des Archäologischen Parks entstehen sollte.
Sondage 5";;"zur Grabung: F. Humer – A. Konecny, FÖ 47, 2008, 571f.; F. Humer – A. Konecny, FÖ 48, 2009, 424–426; A. Konecny, Untersuchungen im Bereich des projektierten Parkplatzes am westlichen Ortsrand von Petronell-Carnuntum; die Kampagne 2009, AÖ 21/1, 210, 31f.; A. Konecny, Die südliche Periphere von Carnuntum. Neue Evidenz aus den Grabungen 2001–2009, in: 13. ÖAT Salzburg 2010 (Wien 2012) 271–280";vollständig erhaltener Korpus, an der östlichen Oberkante mehrere rundliche Ausbrüche - von einer Baggerschaufel?;;0;;Petronell-Carnuntum, Parkplatz vor dem Besucherzentrum des Archäologischen Parks;;;;;1;Körperbestattung, Doppelkopfnische, Kopfpolster, Meißelspuren
1515072;Grabung;2009;Sarkophag mit Kopfnische und Kopfpolster;;2.-4. Jh. n. Chr.;151;400;Muschelkalkstein;L x B x H: 186 x 76 x 54 x 14 x 37 cm;"Der Korpus ist auf der Oberseiten der Innenseiten recht sorgfältig geglättet. An den Außenfronten findet sich ein 3-4cm breiter Randschlag. An den Schmalseiten steht eine 2-3cm starke Spiegelbosse an - schrägparallele Bahnen des Spitzeisens deutlich sichtbar. An den Langseiten ist der Spiegel kaum merklich erhaben und sorgfältiger geglättet.
Maße: Wandungen sind an den Langseiten 13-14cm dick, am Fußende 13,5cm breit, am Kopfende 30cm - 13cm am Scheitel der 31cm weiten Nische. Die Tiefe von Oberkante sind 34-37 cm. Das bis zu 5cm hohe Kopfpolster ist bis zur Kante 13cm lang, und bis zum Innenboden 6cm lang. Lichte Weite ist 48cm.";"keine";CAR-S-2003;;Mittlere bis späte Kaiserzeit;Der Sarkophag wurde bei der Grabung 2008/2009 in Petronell auf dem Areal ausgegraben, auf dem der neue Parkplatz vor dem Besucherzentrum des Archäologischen Parks entstehen sollte. Sondage 8;;"zur Grabung: F. Humer – A. Konecny, FÖ 47, 2008, 571f.; F. Humer – A. Konecny, FÖ 48, 2009, 424–426; A. Konecny, Untersuchungen im Bereich des projektierten Parkplatzes am westlichen Ortsrand von Petronell-Carnuntum; die Kampagne 2009, AÖ 21/1, 210, 31f.; A. Konecny, Die südliche Periphere von Carnuntum. Neue Evidenz aus den Grabungen 2001–2009, in: 13. ÖAT Salzburg 2010 (Wien 2012) 271–280";vollständig;;0;;Petronell-Carnuntum, Parkplatz vor dem Besucherzentrum des Archäologischen Parks;;;;;1;Körperbestattung, Kopfnische, Kopfpolster, Meißelspuren
